purchase_id,customer_id,product_id,purchase_date,quantity,total_amount
10351,7107,1945,2024-03-24,9,650.61
7773,303,1646,2024-03-13,1,65.07
10697,6986,723,2024-05-02,8,387.6
11887,3924,402,2024-02-15,1,22.31
15123,8046,1436,2024-05-14,7,454.58
9684,7959,445,2024-04-01,1,93.88
1965,331,278,2024-06-24,4,243.52
9918,1082,413,2024-05-27,2,169.68
8282,4880,1539,2024-03-11,4,247.76
16789,6039,1342,2024-05-01,8,98.56
2595,1126,316,2024-04-26,9,247.68
365,4957,86,2024-04-16,10,464.5
17474,3394,1871,2024-03-19,2,75.38
5969,4923,493,2024-01-11,1,89.62
10877,4366,1019,2024-03-05,7,129.29
4105,991,298,2024-01-23,4,55.88
11059,2101,92,2024-05-30,8,774.16
19544,1747,1233,2024-03-01,8,769.84
1319,6043,883,2024-03-07,3,85.83
5757,41,1489,2024-06-13,3,90.45
10896,1337,1577,2024-01-28,2,82.0
16011,3120,752,2024-05-10,10,243.7
3968,541,65,2024-06-18,1,71.05
3898,3075,435,2024-04-15,4,209.76
5971,5721,678,2024-06-11,9,467.73
346,5389,1958,2024-04-25,3,218.25
7646,633,1879,2024-01-16,3,109.62
3452,2098,668,2024-01-21,8,333.92
13037,2604,1715,2024-04-16,7,277.62
6960,5612,1587,2024-04-28,8,346.72
14534,7074,501,2024-05-26,2,87.04
16506,9625,1418,2024-04-15,10,268.4
15019,2822,1552,2024-03-12,10,164.7
11425,5417,1728,2024-03-28,1,96.2
13177,2794,964,2024-05-07,9,661.77
18462,2297,1985,2024-01-19,4,68.0
11028,271,794,2024-01-29,1,91.12
4898,6381,1339,2024-04-21,6,255.36
2081,9550,85,2024-05-07,3,224.28
8959,1984,830,2024-02-20,7,538.16
6565,3817,1667,2024-01-17,9,622.08
9986,9821,1767,2024-02-11,6,86.58
1058,5752,746,2024-03-27,8,435.36
6201,3773,1824,2024-02-13,3,207.18
6931,6704,1396,2024-02-11,8,211.92
1140,1792,695,2024-03-18,9,785.88
10705,5531,796,2024-03-15,4,230.04
17113,6685,503,2024-06-18,10,775.7
10471,301,1330,2024-02-12,9,763.92
13950,3868,1339,2024-05-18,4,170.24
2054,8346,355,2024-04-12,6,355.68
9946,8629,1552,2024-05-02,7,115.29
12049,4203,494,2024-03-27,10,971.9
18895,889,389,2024-05-02,5,499.35
7990,1693,818,2024-03-05,1,24.58
7177,1428,1859,2024-02-11,3,291.87
7332,7621,1998,2024-01-09,10,264.9
620,8249,729,2024-04-10,10,216.8
15473,1187,367,2024-01-24,1,57.64
4644,5728,663,2024-05-20,8,366.08
3385,7379,1605,2024-02-19,5,447.6
8645,6057,112,2024-05-17,9,737.55
5113,6371,1605,2024-02-10,2,179.04
14548,5340,1393,2024-02-03,2,31.28
19223,5510,924,2024-05-21,3,76.95
15009,8321,1429,2024-01-03,5,345.95
12535,6796,613,2024-03-08,6,461.4
19748,6851,488,2024-05-26,1,66.36
1748,208,81,2024-06-23,5,68.7
1216,3345,379,2024-01-24,10,802.4
17843,1780,1134,2024-01-17,4,70.36
15281,3861,1343,2024-02-01,4,46.96
9523,7355,87,2024-01-15,6,396.36
3010,8222,1295,2024-06-08,5,316.7
17948,4906,1941,2024-02-17,9,111.51
5569,6545,1555,2024-03-16,10,765.5
19338,6607,1882,2024-04-11,10,864.3
10787,1571,1660,2024-04-18,4,204.92
16070,9927,1748,2024-02-02,5,353.5
318,7371,1646,2024-03-28,10,650.7
17986,5371,930,2024-02-06,6,379.86
8898,9858,87,2024-04-22,6,396.36
12793,420,1638,2024-02-16,9,628.92
18354,1493,1660,2024-04-22,3,153.69
16128,9755,1951,2024-06-16,2,103.86
565,2682,265,2024-01-09,7,462.91
7091,7103,1588,2024-04-06,10,659.9
11699,3022,760,2024-03-27,2,198.02
5066,8763,640,2024-01-20,4,236.48
15562,4101,48,2024-01-03,8,692.32
9403,8755,645,2024-05-06,7,550.9
6901,4910,1572,2024-01-09,10,918.4
16546,3325,917,2024-05-08,10,830.5
8855,7808,781,2024-02-19,5,278.35
747,2602,722,2024-01-30,9,873.72
18641,5205,1551,2024-01-08,10,261.6
13530,3294,1707,2024-03-29,8,718.08
13707,8629,1762,2024-03-10,10,560.0
15749,4902,1025,2024-03-01,8,357.28
6261,9315,1007,2024-01-11,7,112.42
7144,5553,1336,2024-06-13,6,349.5
7066,8433,1783,2024-05-04,5,69.1
7712,2673,149,2024-05-27,8,531.36
16524,1764,413,2024-01-19,9,763.56
727,8032,245,2024-02-16,5,136.15
6571,8262,104,2024-02-24,9,641.34
17227,9156,1162,2024-03-29,10,511.0
13991,545,1691,2024-01-09,6,567.0
19000,8917,1905,2024-04-07,4,122.88
6636,431,390,2024-03-04,7,341.53
1088,7192,814,2024-05-06,9,311.85
2761,9397,1168,2024-01-09,5,182.4
5331,1137,561,2024-01-24,4,139.4
18732,2397,1164,2024-04-18,9,484.11
14481,5584,356,2024-03-20,1,71.81
18138,6550,680,2024-01-07,10,475.0
8226,5801,371,2024-02-23,7,489.23
7006,1513,1898,2024-06-09,7,303.31
700,3436,1180,2024-04-04,7,609.0
445,7707,967,2024-01-17,9,819.36
6657,9889,913,2024-01-10,1,42.55
6634,758,1468,2024-02-18,9,100.17
9320,976,830,2024-03-18,8,615.04
8909,4144,1404,2024-05-01,7,192.15
10563,7073,1086,2024-04-25,3,43.83
12664,9576,1058,2024-06-12,6,104.34
18421,4003,53,2024-05-09,8,715.76
8750,8590,1503,2024-06-11,2,42.32
